ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
v_gogogogo1263,Gogo_gogo1263,gogo1263,gog,Gogo,Atlantic-Congo,-6.35951,35.4807,varikin,Gogo_gogo1263.txt,NA,,NA,Varikin
v_gondigond1265,Gondi_gond1265,gond1265,,Gondi,Dravidian,,,varikin,Gondi_gond1265.txt,NA,,NA,Varikin
v_gothicgoth1244,Gothic_goth1244,goth1244,got,Gothic,Indo-European,46.9304,29.9786,varikin,Gothic_goth1244.txt,NA,,NA,Varikin
v_guarijiohuar1255,Guarijio_huar1255,huar1255,var,Huarijio,Uto-Aztecan,27.8685,-108.437,varikin,Guarijio_huar1255.txt,NA,,NA,Varikin
v_gujaratiguja1252,Gujarati_guja1252,guja1252,guj,Gujarati,Indo-European,22.687,71.0962,varikin,Gujarati_guja1252.txt,NA,,NA,Varikin
v_gumatjguma1253,Gumatj_guma1253,guma1253,gnn,Gumatj,Pama-Nyungan,-12.25254,136.83042,varikin,Gumatj_guma1253.txt,NA,,NA,Varikin
v_gumbaynggirkumb1268,Gumbaynggir_kumb1268,kumb1268,kgs,Kumbainggar,Pama-Nyungan,-29.8189,152.913,varikin,Gumbaynggir_kumb1268.txt,NA,,NA,Varikin
v_gununakunepuel1244,Gününa_Küne_puel1244,puel1244,pue,Puelche,,-42.223,-68.666,varikin,Gününa_Küne_puel1244.txt,NA,,NA,Varikin
v_gunyaguny1241,Gunya_guny1241,guny1241,gyy,Gunya,Pama-Nyungan,-27.0642,145.862,varikin,Gunya_guny1241.txt,NA,,NA,Varikin
v_gupapuyngugupa1247,Gupapuyngu_gupa1247,gupa1247,guf,Gupapuyngu,Pama-Nyungan,-12.2868,135.337,varikin,Gupapuyngu_gupa1247.txt,NA,,NA,Varikin
v_gurindjiguri1247,Gurindji_guri1247,guri1247,gue,Gurindji,Pama-Nyungan,-17.0329,130.379,varikin,Gurindji_guri1247.txt,NA,,NA,Varikin
v_gusiigusi1247,Gusii_gusi1247,gusi1247,guz,Gusii,Atlantic-Congo,-0.78872,34.76751,varikin,Gusii_gusi1247.txt,NA,,NA,Varikin
v_guuguyimidhirrgugu1255,Guugu_Yimidhirr_gugu1255,gugu1255,kky,Guugu Yimidhirr,Pama-Nyungan,-14.9424,144.831,varikin,Guugu_Yimidhirr_gugu1255.txt,NA,,NA,Varikin
v_hahaaa1252,Ha_haaa1252,haaa1252,haq,Ha,Atlantic-Congo,-3.77873,30.4894,varikin,Ha_haaa1252.txt,NA,,NA,Varikin
v_hausahaus1257,Hausa_haus1257,haus1257,hau,Hausa,Afro-Asiatic,11.1513,8.7804,varikin,Hausa_haus1257.txt,NA,,NA,Varikin
v_hawaiianshawa1245,Hawaiians_hawa1245,hawa1245,haw,Hawaiian,Austronesian,19.6297,-155.43,varikin,Hawaiians_hawa1245.txt,NA,,NA,Varikin
v_hayahaya1250,Haya_haya1250,haya1250,hay,Haya,Atlantic-Congo,-1.70878,31.4846,varikin,Haya_haya1250.txt,NA,,NA,Varikin
v_hehehehe1240,Hehe_hehe1240,hehe1240,heh,Hehe,Atlantic-Congo,-7.71572,35.7255,varikin,Hehe_hehe1240.txt,NA,,NA,Varikin
v_hererohere1253,Herero_here1253,here1253,her,Herero,Atlantic-Congo,-21.0231,20.5655,varikin,Herero_here1253.txt,NA,,NA,Varikin
